,nearest_public_figure_id,econ,dipl,govt,scty,age,sex,study,work,nearest_result_id,date
1790,6.0,37.5,-22.5,-25.0,71.0,Between 18 and 25,M,High School,University Student,13.0,2021-01-28
1791,6.0,32.5,-35.0,-10.0,49.5,Between 18 and 25,M,High School,Looking for employment,13.0,2021-01-28
1792,5.0,40.0,0.0,-40.0,12.0,More than 65,M,PhD,Retired,16.0,2021-01-28
1793,5.0,-40.0,-70.0,-85.0,32.0,Between 18 and 25,M,High School,University Student,44.0,2021-01-28
1794,3.0,20.0,-30.0,-40.0,62.0,Between 18 and 25,M,High School,University Student,16.0,2021-01-28
1795,5.0,-45.0,-45.0,-25.0,37.0,Between 18 and 25,M,High School,University Student,41.0,2021-01-28
1796,5.0,-40.0,-45.0,-55.0,41.0,Between 18 and 25,M,High School,University Student,44.0,2021-01-28
1797,5.0,5.0,5.0,5.0,5.0,Between 18 and 25,M,High School,University Student,27.0,2021-01-28
1798,5.0,-50.0,-45.0,-40.0,26.0,Between 18 and 25,M,High School,University Student,44.0,2021-01-28
1799,5.0,-10.0,-65.0,-135.0,-54.5,Between 26 and 35,M,Master's Degree,Post-Doc,38.0,2021-01-28
1800,2.0,67.5,42.5,72.5,102.0,Between 18 and 25,M,High School,University Student,14.0,2021-01-28
1802,5.0,17.5,-45.0,-67.5,0.5,Between 18 and 25,N,Bachelor's Degree,Looking for employment,37.0,2021-01-28
1804,5.0,-80.0,-80.0,-110.0,-92.0,Between 56 and 65,F,PhD,Entrepreneur,39.0,2021-01-28
1805,4.0,-45.0,-17.5,55.0,52.0,Between 18 and 25,M,High School,Student,47.0,2021-01-28
1806,5.0,0.0,-60.0,-122.5,-77.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,38.0,2021-01-29
1808,2.0,65.0,37.5,100.0,122.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,14.0,2021-01-29
1809,2.0,60.0,45.0,75.0,139.5,Between 18 and 25,F,I'd rather not answer,Student,14.0,2021-01-29
1810,4.0,62.5,0.0,22.5,94.5,Between 18 and 25,F,High School,Student,12.0,2021-01-29
1811,4.0,45.0,15.0,22.5,43.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,12.0,2021-01-29
1812,5.0,-22.5,-40.0,-92.5,-66.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,30.0,2021-01-29
1814,5.0,-2.5,-52.5,-102.5,-68.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,30.0,2021-01-29
1815,5.0,42.5,-20.0,-40.0,-2.0,Less than 18,M,High School,Student,16.0,2021-01-29
1829,2.0,50.0,15.0,37.5,96.0,Less than 18,M,Middle School,Student,12.0,2021-01-29
1831,5.0,42.5,-35.0,-55.0,-14.5,Less than 18,M,High School,Student,10.0,2021-01-29
1832,2.0,45.0,22.5,47.5,86.0,Less than 18,M,Middle School,Student,21.0,2021-01-29
1833,2.0,67.5,30.0,57.5,102.0,Between 18 and 25,M,High School,University Student,2.0,2021-01-29
1834,5.0,20.0,10.0,-12.5,17.5,Between 26 and 35,F,First Level Master Degree,Entrepreneur,27.0,2021-01-29
1836,5.0,17.5,-5.0,-25.0,19.0,Between 46 and 55,F,Master's Degree,Permanent Employee,27.0,2021-01-29
1837,4.0,40.0,10.0,20.0,59.0,Between 56 and 65,M,Middle School,Freelance,12.0,2021-01-29
1838,6.0,-45.0,0.0,27.5,31.0,Between 46 and 55,M,PhD,Retired,41.0,2021-01-29
1839,5.0,20.0,-90.0,-140.0,-162.0,Between 18 and 25,F,Bachelor's Degree,Permanent Employee,38.0,2021-01-29
1840,5.0,20.0,-80.0,-190.0,-162.0,Less than 18,F,Middle School,Student,36.0,2021-01-29
1841,6.0,40.0,12.5,10.0,47.5,Between 18 and 25,F,High School,University Student,12.0,2021-01-29
1842,2.0,65.0,77.5,147.5,159.5,Between 18 and 25,M,Bachelor's Degree,University Student,1.0,2021-01-29
1843,2.0,55.0,62.5,62.5,110.0,Between 46 and 55,F,PhD,I'd rather not answer,14.0,2021-01-30
1844,4.0,67.5,-10.0,7.5,59.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,12.0,2021-01-30
1845,6.0,17.5,17.5,30.0,14.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,28.0,2021-01-30
1846,4.0,47.5,5.0,5.0,83.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,12.0,2021-01-30
1847,5.0,32.5,2.5,-55.0,-9.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,16.0,2021-01-30
1849,5.0,-7.5,-47.5,-75.0,-49.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,30.0,2021-01-30
1850,5.0,55.0,-20.0,-15.0,-7.0,Between 18 and 25,M,High School,Student,13.0,2021-01-31
1851,4.0,47.5,-5.0,20.0,81.0,Between 18 and 25,M,Vocational qualification,University Student,12.0,2021-01-31
1852,5.0,20.0,2.5,-42.5,41.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,16.0,2021-01-31
1853,2.0,55.0,52.5,82.5,106.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,14.0,2021-01-31
1856,2.0,52.5,17.5,55.0,92.0,Between 18 and 25,M,High School,University Student,12.0,2021-01-31
1858,2.0,62.5,30.0,42.5,116.0,Less than 18,M,Middle School,Student,12.0,2021-02-01
1859,5.0,32.5,2.5,-22.5,15.5,Less than 18,M,Middle School,I'd rather not answer,16.0,2021-02-01
1860,5.0,-7.5,-65.0,-72.5,-55.5,Between 18 and 25,M,Middle School,Looking for employment,30.0,2021-02-01
1861,2.0,47.5,40.0,80.0,97.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,14.0,2021-02-01
1862,5.0,30.0,-32.5,-22.5,22.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,16.0,2021-02-01
1863,5.0,-12.5,-55.0,-35.0,-65.5,Less than 18,M,Middle School,Retired,30.0,2021-02-01
1866,3.0,47.5,-20.0,-15.0,41.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,13.0,2021-02-01
1867,5.0,5.0,12.5,-30.0,-9.5,Between 46 and 55,M,Middle School,I'd rather not answer,27.0,2021-02-01
1868,2.0,47.5,10.0,60.0,114.5,Between 18 and 25,N,Middle School,Permanent Employee,21.0,2021-02-01
1869,5.0,15.0,-55.0,-132.5,-54.5,More than 65,M,Master's Degree,Freelance,37.0,2021-02-01
1870,2.0,55.0,60.0,42.5,127.0,Less than 18,M,Middle School,Student,22.0,2021-02-01
1872,2.0,47.5,37.5,82.5,121.0,Less than 18,M,Middle School,Student,14.0,2021-02-01
1873,5.0,10.0,-22.5,-37.5,14.0,Between 18 and 25,M,Master's Degree,Permanent Employee,27.0,2021-02-01
1874,4.0,60.0,17.5,40.0,56.0,Less than 18,M,Middle School,Student,12.0,2021-02-01
1875,2.0,47.5,52.5,80.0,113.5,Less than 18,M,Middle School,Student,14.0,2021-02-01
1876,5.0,-40.0,-90.0,-160.0,-172.0,More than 65,M,I'd rather not answer,Retired,36.0,2021-02-01
1877,2.0,70.0,35.0,75.0,104.5,Between 18 and 25,F,High School,University Student,2.0,2021-02-02
1878,4.0,42.5,10.0,12.5,98.0,Less than 18,F,I'd rather not answer,Student,12.0,2021-02-02
1879,4.0,17.5,20.0,60.0,46.0,Between 46 and 55,M,Master's Degree,Public Employee,28.0,2021-02-02
1880,2.0,42.5,32.5,57.5,95.0,Less than 18,M,Middle School,Student,21.0,2021-02-02
1881,5.0,50.0,-30.0,-42.5,21.5,Less than 18,M,Middle School,Student,9.0,2021-02-02
1882,5.0,22.5,-77.5,-127.5,-59.5,Between 18 and 25,M,Vocational qualification,University Student,37.0,2021-02-02
1883,5.0,0.0,0.0,0.0,0.0,,,,,27.0,2021-02-02
1884,4.0,50.0,17.5,35.0,64.5,Between 18 and 25,M,High School,University Student,12.0,2021-02-02
1885,2.0,2.5,17.5,90.0,89.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,33.0,2021-02-02
1886,4.0,52.5,12.5,-2.5,93.0,Less than 18,M,Middle School,Student,12.0,2021-02-02
1887,2.0,47.5,-10.0,77.5,57.0,Less than 18,M,Middle School,Student,19.0,2021-02-02
1888,2.0,57.5,22.5,65.0,94.5,Less than 18,M,Middle School,Student,21.0,2021-02-02
1889,5.0,37.5,-70.0,-157.5,-42.0,Less than 18,M,High School,Student,24.0,2021-02-03
1890,5.0,40.0,-30.0,-147.5,-17.0,Less than 18,M,High School,Student,10.0,2021-02-03
1891,5.0,10.0,-57.5,-67.5,-3.5,Between 18 and 25,M,High School,I'd rather not answer,37.0,2021-02-03
1892,4.0,5.0,15.0,20.0,47.0,Less than 18,M,Middle School,Student,28.0,2021-02-03
1893,5.0,52.5,-10.0,-72.5,-2.0,Between 46 and 55,M,High School,I'd rather not answer,9.0,2021-02-03
1894,3.0,47.5,15.0,-20.0,20.5,Between 46 and 55,F,I'd rather not answer,I'd rather not answer,13.0,2021-02-03
1895,2.0,70.0,70.0,112.5,149.5,Between 18 and 25,M,I'd rather not answer,Student,2.0,2021-02-03
1896,2.0,85.0,50.0,57.5,121.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,2.0,2021-02-03
1897,4.0,62.5,5.0,32.5,66.0,Less than 18,M,Middle School,Student,12.0,2021-02-03
1899,2.0,60.0,32.5,60.0,101.0,Between 18 and 25,F,High School,Student,14.0,2021-02-03
1900,2.0,62.5,32.5,72.5,101.0,Between 18 and 25,F,High School,Student,14.0,2021-02-03
1902,2.0,42.5,40.0,72.5,132.0,Less than 18,M,Middle School,Student,22.0,2021-02-04
1904,4.0,30.0,15.0,45.0,70.0,Less than 18,M,Middle School,Student,19.0,2021-02-04
1906,5.0,-20.0,-80.0,-110.0,-72.0,Less than 18,M,Middle School,Student,38.0,2021-02-04
1907,2.0,72.5,45.0,55.0,127.0,Between 18 and 25,M,High School,University Student,2.0,2021-02-04
1908,2.0,85.0,47.5,97.5,159.5,Less than 18,M,Middle School,Student,2.0,2021-02-04
1909,5.0,-32.5,-60.0,-67.5,-11.5,Between 36 and 45,M,Master's Degree,Permanent Employee,30.0,2021-02-04
1910,5.0,40.0,-57.5,-100.0,-37.0,Less than 18,M,I'd rather not answer,Student,10.0,2021-02-05
1911,5.0,45.0,-7.5,-37.5,-11.0,Between 36 and 45,M,High School,I'd rather not answer,16.0,2021-02-05
1912,5.0,60.0,-35.0,-62.5,11.5,Less than 18,M,I'd rather not answer,Student,9.0,2021-02-05
1914,6.0,65.0,-12.5,-15.0,73.0,Less than 18,M,High School,Student,12.0,2021-02-06
1915,6.0,65.0,-7.5,-15.0,78.0,Less than 18,M,I'd rather not answer,Student,12.0,2021-02-06
1916,4.0,45.0,30.0,42.5,65.0,Between 26 and 35,F,First Level Master Degree,Freelance,19.0,2021-02-06
1920,2.0,60.0,72.5,135.0,129.5,Between 18 and 25,M,High School,Fixed Term Employee,14.0,2021-02-06
1921,4.0,52.5,20.0,17.5,78.5,Between 56 and 65,F,High School,I'd rather not answer,12.0,2021-02-06
1923,5.0,-10.0,-32.5,-100.0,-47.0,Less than 18,M,Middle School,Student,30.0,2021-02-06
1924,2.0,25.0,30.0,52.5,76.0,Between 36 and 45,M,High School,Fixed Term Employee,19.0,2021-02-06
1925,2.0,52.5,45.0,92.5,129.5,Between 18 and 25,M,High School,Fixed Term Employee,14.0,2021-02-07
1926,2.0,50.0,37.5,42.5,97.5,Less than 18,M,Middle School,Student,21.0,2021-02-07
1927,3.0,57.5,25.0,-2.5,8.0,Between 46 and 55,F,High School,Freelance,12.0,2021-02-07
1928,5.0,57.5,-15.0,-57.5,12.0,Less than 18,M,Middle School,Student,9.0,2021-02-07
1929,5.0,37.5,-55.0,-150.0,-42.0,Less than 18,M,High School,Student,24.0,2021-02-07
1930,5.0,37.5,-50.0,-150.0,-27.0,Less than 18,M,High School,Student,37.0,2021-02-07
1931,5.0,20.0,-70.0,-130.0,-72.0,Less than 18,M,High School,Student,24.0,2021-02-07
1932,5.0,20.0,-50.0,-110.0,-52.0,Less than 18,M,High School,Student,37.0,2021-02-07
1933,5.0,20.0,-50.0,-110.0,-67.0,Less than 18,M,High School,Student,17.0,2021-02-08
1935,2.0,70.0,32.5,97.5,142.0,Between 18 and 25,F,High School,University Student,2.0,2021-02-08
1936,2.0,57.5,40.0,62.5,91.0,Between 56 and 65,F,High School,Looking for employment,14.0,2021-02-08
1938,2.0,50.0,35.0,60.0,112.0,Less than 18,M,I'd rather not answer,Student,21.0,2021-02-08
1939,5.0,40.0,0.0,-40.0,12.0,Between 36 and 45,F,Master's Degree,Fixed Term Employee,16.0,2021-02-08
1940,5.0,32.5,-35.0,-82.5,-15.5,Between 26 and 35,F,Bachelor's Degree,University Student,10.0,2021-02-08
1941,6.0,42.5,-17.5,-5.0,48.0,Less than 18,M,High School,Student,13.0,2021-02-09
1943,2.0,30.0,32.5,82.5,99.5,Between 18 and 25,M,High School,University Student,21.0,2021-02-09
1945,6.0,50.0,5.0,2.5,56.0,Less than 18,M,Vocational qualification,Student,12.0,2021-02-09
1948,6.0,52.5,10.0,-32.5,91.5,Less than 18,M,Middle School,Student,12.0,2021-02-09
1949,5.0,22.5,-50.0,-112.5,-29.5,Less than 18,M,Vocational qualification,Student,37.0,2021-02-09
1950,2.0,67.5,70.0,92.5,122.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,14.0,2021-02-09
1951,3.0,50.0,12.5,-35.0,30.5,I'd rather not answer,N,I'd rather not answer,Retired,13.0,2021-02-09
1952,4.0,52.5,15.0,35.0,74.5,Between 36 and 45,M,Middle School,Permanent Employee,12.0,2021-02-10
1954,2.0,75.0,65.0,137.5,142.0,Between 26 and 35,M,Master's Degree,Freelance,2.0,2021-02-10
1955,5.0,22.5,-70.0,-140.0,-80.0,Less than 18,M,High School,Student,24.0,2021-02-10
1957,2.0,65.0,35.0,65.0,118.5,Less than 18,M,Middle School,Student,14.0,2021-02-11
1958,6.0,60.0,15.0,-27.5,41.5,More than 65,M,Master's Degree,Retired,12.0,2021-02-11
1960,3.0,60.0,-2.5,-20.0,37.5,More than 65,F,Middle School,Retired,13.0,2021-02-11
1961,2.0,60.0,25.0,50.0,103.5,Less than 18,M,Middle School,Student,12.0,2021-02-11
1963,5.0,60.0,10.0,-60.0,-2.0,Between 26 and 35,M,High School,Looking for employment,9.0,2021-02-11
1964,6.0,20.0,15.0,0.0,29.5,Less than 18,M,I'd rather not answer,I'd rather not answer,28.0,2021-02-12
1967,2.0,62.5,62.5,107.5,132.0,Between 18 and 25,F,High School,University Student,14.0,2021-02-12
1968,2.0,80.0,50.0,125.0,144.5,Between 18 and 25,F,High School,University Student,2.0,2021-02-12
1970,4.0,40.0,7.5,25.0,68.5,Between 56 and 65,F,High School,Fixed Term Employee,12.0,2021-02-12
1971,5.0,52.5,-45.0,-130.0,-27.0,Less than 18,M,High School,Student,10.0,2021-02-12
1972,2.0,57.5,55.0,90.0,124.5,Between 18 and 25,F,High School,University Student,14.0,2021-02-12
1975,2.0,52.5,60.0,122.5,139.5,Between 18 and 25,F,High School,University Student,14.0,2021-02-12
1976,2.0,32.5,62.5,112.5,129.5,Between 18 and 25,F,High School,University Student,14.0,2021-02-12
1977,2.0,70.0,70.0,150.0,162.0,Between 18 and 25,F,High School,University Student,1.0,2021-02-12
1978,2.0,45.0,82.5,150.0,142.0,Between 18 and 25,F,High School,University Student,14.0,2021-02-12
1979,2.0,35.0,55.0,120.0,127.0,Between 18 and 25,F,High School,University Student,14.0,2021-02-12
1980,2.0,37.5,25.0,55.0,68.5,Between 18 and 25,F,High School,University Student,19.0,2021-02-12
1982,5.0,60.0,-20.0,-120.0,-2.0,Less than 18,M,High School,Student,9.0,2021-02-13
1984,5.0,40.0,-20.0,-140.0,-2.0,Less than 18,M,High School,Student,10.0,2021-02-13
1985,5.0,40.0,-20.0,-160.0,-2.0,Less than 18,M,High School,Student,25.0,2021-02-13
1986,5.0,40.0,0.0,-60.0,12.0,Less than 18,M,High School,Student,16.0,2021-02-13
1987,2.0,70.0,27.5,7.5,104.5,Between 18 and 25,F,High School,Student,12.0,2021-02-13
1989,4.0,72.5,17.5,0.0,107.0,Between 18 and 25,F,High School,University Student,12.0,2021-02-13
1990,2.0,35.0,25.0,45.0,124.5,Between 18 and 25,M,Bachelor's Degree,Student,21.0,2021-02-13
1991,2.0,45.0,40.0,32.5,107.0,Between 18 and 25,M,Bachelor's Degree,Student,21.0,2021-02-13
1992,5.0,-20.0,-90.0,-160.0,-142.0,Less than 18,M,PhD,Entrepreneur,36.0,2021-02-13
1993,5.0,37.5,-15.0,-67.5,-51.0,I'd rather not answer,M,I'd rather not answer,I'd rather not answer,10.0,2021-02-14
1994,5.0,47.5,-72.5,-102.5,-28.5,Between 18 and 25,M,I'd rather not answer,Student,10.0,2021-02-14
1995,2.0,45.0,50.0,70.0,126.0,Less than 18,F,High School,University Student,14.0,2021-02-14
1996,5.0,80.0,0.0,-80.0,3.0,Less than 18,M,High School,Student,8.0,2021-02-14
1997,5.0,40.0,-50.0,-110.0,-62.0,Less than 18,M,High School,Student,17.0,2021-02-14
1998,5.0,40.0,-30.0,-130.0,-47.0,Less than 18,M,High School,Student,10.0,2021-02-14
1999,2.0,45.0,42.5,65.0,81.5,Between 26 and 35,M,High School,Student,21.0,2021-02-14
2000,5.0,60.0,-10.0,-55.0,18.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,9.0,2021-02-14
2003,5.0,30.0,-50.0,-60.0,-19.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,10.0,2021-02-14
2004,5.0,65.0,-5.0,-55.0,23.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,9.0,2021-02-14
2005,2.0,85.0,55.0,82.5,94.5,Less than 18,M,Middle School,Student,2.0,2021-02-14
2006,5.0,20.0,-55.0,-62.5,-19.5,Between 18 and 25,M,High School,Permanent Employee,37.0,2021-02-14
2007,4.0,2.5,0.0,60.0,59.5,Between 18 and 25,M,High School,I'd rather not answer,28.0,2021-02-14
2008,5.0,65.0,-10.0,-65.0,23.0,Between 18 and 25,M,High School,Student,9.0,2021-02-14
2010,5.0,-12.5,-45.0,-62.5,-9.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,30.0,2021-02-14
2011,2.0,-2.5,15.0,72.5,69.5,Between 18 and 25,M,High School,I'd rather not answer,28.0,2021-02-14
2012,5.0,72.5,-10.0,-52.5,25.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,9.0,2021-02-14
2013,6.0,72.5,-5.0,0.0,31.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,12.0,2021-02-14
2014,4.0,-60.0,0.0,130.0,-18.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,49.0,2021-02-14
2015,4.0,72.5,-5.0,-7.5,69.0,Less than 18,M,Middle School,Student,12.0,2021-02-14
2016,2.0,-60.0,50.0,150.0,22.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,48.0,2021-02-15
2019,5.0,60.0,-40.0,-160.0,-42.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,7.0,2021-02-15
2020,5.0,72.5,-15.0,-62.5,20.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,9.0,2021-02-15
2022,5.0,0.0,5.0,-5.0,0.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,27.0,2021-02-15
2024,5.0,60.0,-20.0,-100.0,-22.0,Less than 18,M,High School,Student,8.0,2021-02-15
2025,2.0,77.5,25.0,47.5,136.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,2.0,2021-02-15
2026,6.0,62.5,10.0,5.0,46.5,Less than 18,M,High School,Student,12.0,2021-02-15
2027,2.0,70.0,22.5,35.0,120.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,12.0,2021-02-15
2029,2.0,67.5,52.5,67.5,89.5,Between 18 and 25,F,High School,University Student,14.0,2021-02-15
2030,4.0,-50.0,50.0,120.0,-38.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,47.0,2021-02-15
2031,2.0,75.0,30.0,67.5,97.0,Between 18 and 25,F,High School,University Student,2.0,2021-02-15
2032,4.0,87.5,5.0,5.0,92.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,4.0,2021-02-15
2034,3.0,90.0,-30.0,-50.0,57.0,I'd rather not answer,M,I'd rather not answer,I'd rather not answer,5.0,2021-02-15
2035,6.0,82.5,-20.0,-12.5,57.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,12.0,2021-02-15
2036,4.0,87.5,-20.0,2.5,82.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,12.0,2021-02-15
2037,2.0,45.0,100.0,140.0,172.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,14.0,2021-02-15
2038,5.0,77.5,-10.0,-60.0,33.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,9.0,2021-02-15
2041,5.0,40.0,0.0,-40.0,12.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,16.0,2021-02-15
2044,5.0,22.5,-2.5,-52.5,-38.5,Between 18 and 25,M,High School,University Student,20.0,2021-02-15
2045,2.0,25.0,30.0,60.0,77.0,Between 18 and 25,F,High School,University Student,19.0,2021-02-15
2046,3.0,22.5,-12.5,-17.5,33.0,Between 18 and 25,M,High School,University Student,16.0,2021-02-15
2047,5.0,55.0,12.5,-40.0,28.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,13.0,2021-02-15
2049,5.0,47.5,-50.0,-40.0,-2.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,16.0,2021-02-15
2050,4.0,42.5,12.5,60.0,64.5,Less than 18,M,High School,Student,19.0,2021-02-15
2055,2.0,-50.0,50.0,150.0,42.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,35.0,2021-02-16
2056,5.0,0.0,-2.5,-22.5,4.0,Less than 18,M,High School,Student,27.0,2021-02-16
2057,2.0,65.0,52.5,70.0,132.0,Less than 18,M,Middle School,Student,2.0,2021-02-16
2058,2.0,45.0,50.0,70.0,122.0,Between 18 and 25,M,Middle School,Student,14.0,2021-02-16
2059,5.0,5.0,5.0,-12.5,11.5,Less than 18,M,Middle School,Student,27.0,2021-02-16
2061,5.0,12.5,-65.0,-22.5,18.5,Less than 18,M,High School,Student,27.0,2021-02-16
2062,3.0,22.5,-15.0,-22.5,36.5,I'd rather not answer,M,I'd rather not answer,I'd rather not answer,16.0,2021-02-16
2064,5.0,-5.0,-75.0,-70.0,-3.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,37.0,2021-02-16
2065,5.0,15.0,-62.5,-142.5,-59.5,Between 18 and 25,M,High School,Student,24.0,2021-02-16
2066,5.0,35.0,-37.5,-22.5,-2.5,Between 26 and 35,M,High School,Permanent Employee,16.0,2021-02-16
2067,5.0,17.5,15.0,-35.0,-14.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,27.0,2021-02-16
2068,5.0,85.0,12.5,-50.0,10.5,Less than 18,M,Middle School,Student,6.0,2021-02-16
2069,2.0,2.5,15.0,52.5,92.0,Between 18 and 25,M,High School,Student,19.0,2021-02-16
2070,5.0,5.0,0.0,-10.0,0.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,27.0,2021-02-16
2072,5.0,70.0,-25.0,-85.0,18.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,9.0,2021-02-16
2074,5.0,80.0,-15.0,-75.0,28.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,6.0,2021-02-16
2076,5.0,80.0,-15.0,-80.0,23.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,6.0,2021-02-16
2077,5.0,20.0,-35.0,-135.0,-62.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,37.0,2021-02-16
2079,2.0,35.0,80.0,120.0,152.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,14.0,2021-02-16
2080,5.0,-17.5,-55.0,-75.0,-47.0,Between 18 and 25,M,High School,University Student,30.0,2021-02-16
2081,5.0,20.0,-60.0,-85.0,-34.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,37.0,2021-02-16
2082,2.0,47.5,25.0,52.5,91.0,Less than 18,M,Middle School,Student,21.0,2021-02-16
2084,5.0,45.0,-32.5,-72.5,-9.5,Less than 18,M,High School,Student,10.0,2021-02-16
2085,5.0,75.0,-20.0,-85.0,8.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,9.0,2021-02-16
2086,5.0,80.0,-15.0,-80.0,13.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,9.0,2021-02-16
2087,5.0,30.0,-2.5,-37.5,-2.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,16.0,2021-02-16
2088,5.0,75.0,-20.0,-90.0,3.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,8.0,2021-02-16
2090,5.0,75.0,-20.0,-85.0,13.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,9.0,2021-02-16
2091,5.0,-70.0,-20.0,90.0,-48.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,49.0,2021-02-16
2092,5.0,25.0,-42.5,-12.5,20.0,Between 18 and 25,M,Bachelor's Degree,University Student,16.0,2021-02-16
2094,6.0,40.0,17.5,-22.5,54.0,Between 18 and 25,F,High School,I'd rather not answer,12.0,2021-02-16
2095,5.0,30.0,-32.5,-57.5,-15.0,Less than 18,M,Middle School,Student,16.0,2021-02-16
2097,3.0,37.5,0.0,-15.0,20.0,Less than 18,M,Middle School,Student,13.0,2021-02-16
2098,5.0,50.0,-12.5,-17.5,12.5,Less than 18,M,Middle School,Student,13.0,2021-02-16
2102,2.0,65.0,30.0,70.0,121.0,Less than 18,M,High School,Student,14.0,2021-02-16
2103,5.0,70.0,-30.0,-135.0,-12.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,8.0,2021-02-17
2105,2.0,75.0,67.5,87.5,121.0,Less than 18,M,Middle School,Student,2.0,2021-02-17
2108,6.0,27.5,7.5,5.0,26.0,Between 36 and 45,M,High School,I'd rather not answer,28.0,2021-02-17
2109,5.0,-25.0,-20.0,-25.0,-24.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,31.0,2021-02-17
2110,5.0,15.0,-60.0,-47.5,-6.5,Between 18 and 25,M,Middle School,Student,37.0,2021-02-17
2111,5.0,27.5,-22.5,-52.5,-7.5,Less than 18,M,Middle School,Student,16.0,2021-02-17
2112,4.0,27.5,25.0,22.5,82.0,Between 18 and 25,M,High School,University Student,19.0,2021-02-17
2113,5.0,32.5,-20.0,-47.5,-4.0,Less than 18,M,Middle School,Student,16.0,2021-02-17
2114,3.0,52.5,-15.0,-50.0,58.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,9.0,2021-02-17
2115,2.0,75.0,12.5,30.0,109.5,Between 18 and 25,M,High School,University Student,12.0,2021-02-18
2116,5.0,0.0,0.0,0.0,0.0,Between 18 and 25,M,High School,University Student,27.0,2021-02-18
2117,2.0,10.0,20.0,55.0,132.0,Between 18 and 25,M,High School,University Student,21.0,2021-02-18
2118,3.0,30.0,-37.5,-17.5,53.5,Between 18 and 25,M,High School,University Student,16.0,2021-02-18
2120,3.0,15.0,-37.5,-20.0,38.5,Between 18 and 25,M,High School,University Student,16.0,2021-02-18
2121,5.0,37.5,-55.0,-152.5,-53.5,Between 18 and 25,M,High School,University Student,24.0,2021-02-18
2122,5.0,67.5,-30.0,-57.5,3.5,More than 65,M,First Level Master Degree,Entrepreneur,9.0,2021-02-18
2124,6.0,52.5,10.0,7.5,46.0,Less than 18,M,High School,Student,12.0,2021-02-18
