nearest_public_figure_id,econ,dipl,govt,scty,age,sex,study,work,nearest_result_id
4.0,40.0,12.5,25.0,51.5,Between 36 and 45,F,High School,I'd rather not answer,19.0
5.0,65.0,-15.0,-80.0,-22.5,Between 46 and 55,F,High School,Looking for employment,8.0
2.0,52.5,40.0,82.5,107.0,Between 26 and 35,M,Master's Degree,Fixed Term Employee,14.0
6.0,25.0,15.0,-10.0,56.5,Between 36 and 45,M,First Level Master Degree,Permanent Employee,28.0
3.0,52.5,15.0,-15.0,21.5,Between 56 and 65,F,High School,Retired,13.0
6.0,15.0,-5.0,20.0,16.5,Between 26 and 35,F,Bachelor's Degree,Student,27.0
4.0,65.0,10.0,22.5,78.5,Between 36 and 45,M,High School,Permanent Employee,12.0
4.0,50.0,12.5,37.5,48.5,Between 26 and 35,F,I'd rather not answer,I'd rather not answer,12.0
5.0,52.5,0.0,-30.0,14.0,Between 36 and 45,F,High School,I'd rather not answer,13.0
4.0,52.5,32.5,10.0,54.0,Between 36 and 45,M,High School,Permanent Employee,12.0
4.0,52.5,20.0,20.0,59.0,Between 18 and 25,F,Bachelor's Degree,University Student,12.0
6.0,42.5,22.5,-10.0,48.5,Between 36 and 45,F,I'd rather not answer,I'd rather not answer,12.0
2.0,37.5,25.0,32.5,113.0,Between 36 and 45,M,High School,Permanent Employee,21.0
6.0,47.5,0.0,-20.0,61.5,Between 46 and 55,F,High School,I'd rather not answer,12.0
4.0,47.5,35.0,17.5,67.5,Between 26 and 35,M,Master's Degree,University Student,12.0
2.0,80.0,40.0,40.0,104.5,Between 18 and 25,M,Bachelor's Degree,Student,2.0
2.0,57.5,15.0,35.0,111.5,Between 46 and 55,M,Bachelor's Degree,Permanent Employee,12.0
4.0,67.5,5.0,20.0,76.0,Between 36 and 45,M,High School,Public Employee,12.0
4.0,55.0,0.0,17.5,91.0,Between 36 and 45,F,Master's Degree,Public Employee,12.0
5.0,65.0,0.0,-72.5,18.0,Between 36 and 45,F,Master's Degree,Freelance,9.0
4.0,67.5,5.0,32.5,53.5,Between 36 and 45,M,High School,Entrepreneur,12.0
5.0,37.5,-12.5,-57.5,-49.5,Between 26 and 35,F,High School,Permanent Employee,10.0
4.0,70.0,17.5,-5.0,62.5,Between 56 and 65,F,Master's Degree,Permanent Employee,12.0
2.0,72.5,15.0,35.0,81.0,Between 26 and 35,M,High School,Permanent Employee,12.0
2.0,47.5,72.5,92.5,142.0,Between 26 and 35,M,Bachelor's Degree,Permanent Employee,14.0
5.0,-20.0,-65.0,-120.0,-67.0,Between 36 and 45,M,Bachelor's Degree,Freelance,38.0
5.0,55.0,20.0,-30.0,3.0,Between 36 and 45,F,Master's Degree,Fixed Term Employee,13.0
4.0,67.5,5.0,2.5,59.0,Between 36 and 45,F,Master's Degree,Freelance,12.0
5.0,22.5,-35.0,-30.0,32.0,Between 36 and 45,M,PhD,I'd rather not answer,16.0
5.0,-20.0,-70.0,-35.0,9.5,Between 36 and 45,M,PhD,Public Employee,41.0
5.0,45.0,-17.5,-65.0,-4.5,Between 18 and 25,M,High School,Student,16.0
5.0,25.0,-10.0,-30.0,19.0,Between 46 and 55,M,High School,Permanent Employee,16.0
5.0,30.0,-27.5,-17.5,18.5,Between 26 and 35,M,High School,Freelance,16.0
5.0,50.0,-5.0,-37.5,1.5,Between 46 and 55,F,Master's Degree,Public Employee,13.0
6.0,40.0,0.0,-17.5,69.5,Between 26 and 35,F,Master's Degree,Freelance,12.0
6.0,40.0,-15.0,2.5,41.0,Between 46 and 55,M,Middle School,I'd rather not answer,13.0
5.0,45.0,15.0,-35.0,-3.5,Between 56 and 65,M,Bachelor's Degree,Permanent Employee,16.0
4.0,50.0,20.0,17.5,73.5,Between 36 and 45,M,Bachelor's Degree,Permanent Employee,12.0
2.0,35.0,15.0,50.0,82.0,Between 26 and 35,M,PhD,Looking for employment,19.0
5.0,45.0,-12.5,-20.0,16.5,Between 56 and 65,F,Master's Degree,Post-Doc,13.0
2.0,42.5,27.5,55.0,104.5,Between 36 and 45,M,High School,Entrepreneur,21.0
2.0,55.0,30.0,47.5,102.0,Between 26 and 35,F,PhD,Post-Doc,12.0
2.0,37.5,30.0,45.0,107.0,Between 26 and 35,F,PhD,Post-Doc,21.0
2.0,27.5,32.5,35.0,98.5,Between 26 and 35,F,PhD,Post-Doc,21.0
2.0,65.0,27.5,40.0,86.0,Between 46 and 55,M,First Level Master Degree,I'd rather not answer,12.0
4.0,57.5,40.0,5.0,88.0,Between 26 and 35,M,High School,Permanent Employee,12.0
6.0,35.0,-17.5,12.5,40.0,Between 36 and 45,M,High School,I'd rather not answer,13.0
5.0,52.5,-10.0,-42.5,13.0,Between 36 and 45,M,Master's Degree,Freelance,9.0
3.0,32.5,-10.0,-2.5,30.0,Between 36 and 45,M,High School,I'd rather not answer,13.0
5.0,40.0,-15.0,-22.5,-8.0,Between 36 and 45,F,High School,I'd rather not answer,16.0
5.0,47.5,-22.5,-40.0,40.0,Between 36 and 45,M,Middle School,I'd rather not answer,13.0
5.0,40.0,-15.0,-45.0,5.5,Between 36 and 45,F,High School,Freelance,16.0
5.0,47.5,5.0,-25.0,19.0,Between 26 and 35,F,Bachelor's Degree,Fixed Term Employee,13.0
3.0,50.0,-10.0,-50.0,46.5,Between 36 and 45,F,High School,Permanent Employee,9.0
4.0,47.5,12.5,37.5,53.5,Between 36 and 45,M,High School,Entrepreneur,12.0
6.0,57.5,-5.0,-12.5,43.0,Between 36 and 45,F,High School,Permanent Employee,13.0
5.0,40.0,0.0,-50.0,7.0,Less than 18,M,Middle School,Student,16.0
3.0,47.5,0.0,-17.5,19.0,Between 26 and 35,F,High School,Permanent Employee,13.0
6.0,12.5,7.5,17.5,23.5,Less than 18,F,Middle School,Student,28.0
5.0,17.5,-2.5,-2.5,13.5,Less than 18,F,I'd rather not answer,Student,27.0
5.0,40.0,-17.5,-17.5,21.0,Between 36 and 45,F,High School,Looking for employment,13.0
6.0,52.5,20.0,2.5,47.0,Between 46 and 55,M,High School,I'd rather not answer,12.0
4.0,27.5,7.5,37.5,73.5,Between 56 and 65,F,Vocational qualification,Retired,19.0
5.0,45.0,7.5,-30.0,6.5,Between 26 and 35,F,High School,Entrepreneur,13.0
5.0,12.5,-30.0,-80.0,-7.0,Between 56 and 65,M,Middle School,Entrepreneur,37.0
5.0,45.0,0.0,-52.5,26.5,Between 46 and 55,F,High School,Permanent Employee,9.0
4.0,67.5,15.0,17.5,61.0,Between 26 and 35,F,Bachelor's Degree,Student,12.0
5.0,20.0,-37.5,-72.5,-22.0,Between 26 and 35,F,High School,Freelance,17.0
2.0,55.0,22.5,42.5,98.5,Between 36 and 45,F,Master's Degree,Freelance,12.0
6.0,57.5,-25.0,-15.0,64.0,Between 56 and 65,F,Master's Degree,Permanent Employee,13.0
2.0,50.0,32.5,87.5,97.0,Between 18 and 25,M,High School,Freelance,14.0
5.0,22.5,-20.0,-40.0,9.0,Between 26 and 35,F,High School,I'd rather not answer,16.0
5.0,47.5,-10.0,-62.5,-18.0,Between 18 and 25,F,High School,Freelance,16.0
5.0,30.0,-17.5,-67.5,-23.5,Between 36 and 45,M,High School,Freelance,10.0
5.0,20.0,-50.0,-57.5,35.5,Between 36 and 45,M,High School,Permanent Employee,16.0
4.0,65.0,10.0,32.5,57.0,Between 56 and 65,F,Vocational qualification,I'd rather not answer,12.0
4.0,30.0,20.0,32.5,45.0,Between 46 and 55,M,Master's Degree,Permanent Employee,19.0
5.0,50.0,12.5,-22.5,14.0,Between 36 and 45,M,Master's Degree,Public Employee,13.0
6.0,52.5,0.0,-10.0,38.5,Between 18 and 25,F,High School,University Student,13.0
2.0,62.5,25.0,45.0,124.5,Between 18 and 25,F,High School,University Student,12.0
4.0,77.5,0.0,20.0,97.0,Between 36 and 45,F,Master's Degree,Permanent Employee,12.0
2.0,57.5,12.5,50.0,106.0,Between 18 and 25,M,High School,Permanent Employee,12.0
4.0,57.5,5.0,2.5,92.0,Between 18 and 25,F,High School,University Student,12.0
2.0,67.5,65.0,117.5,132.0,Between 46 and 55,F,High School,Looking for employment,14.0
2.0,52.5,50.0,72.5,82.0,Between 36 and 45,M,High School,Entrepreneur,14.0
4.0,57.5,10.0,17.5,91.0,Between 26 and 35,M,High School,Looking for employment,12.0
4.0,72.5,-5.0,-5.0,82.0,Between 46 and 55,F,High School,Fixed Term Employee,12.0
3.0,37.5,-20.0,-32.5,42.0,Between 26 and 35,M,Bachelor's Degree,Student,16.0
6.0,20.0,-5.0,5.0,28.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,27.0
2.0,20.0,47.5,67.5,78.5,Between 36 and 45,M,First Level Master Degree,Entrepreneur,21.0
2.0,60.0,62.5,80.0,93.5,Between 36 and 45,M,High School,Entrepreneur,14.0
2.0,47.5,50.0,82.5,106.0,Between 36 and 45,F,First Level Master Degree,Permanent Employee,14.0
2.0,10.0,55.0,67.5,87.0,Between 36 and 45,F,High School,Permanent Employee,21.0
5.0,5.0,-15.0,-72.5,-47.0,Between 46 and 55,M,High School,Permanent Employee,17.0
6.0,25.0,2.5,-2.5,34.0,Between 36 and 45,F,High School,Looking for employment,28.0
6.0,37.5,2.5,10.0,48.5,Between 46 and 55,F,Middle School,Looking for employment,12.0
4.0,35.0,20.0,10.0,49.0,Less than 18,M,Middle School,Student,19.0
2.0,57.5,27.5,40.0,87.5,Between 36 and 45,F,Master's Degree,Public Employee,12.0
6.0,60.0,5.0,-10.0,47.5,Between 36 and 45,F,I'd rather not answer,I'd rather not answer,12.0
5.0,27.5,-20.0,-42.5,-3.5,More than 65,M,Middle School,Retired,16.0
4.0,55.0,15.0,27.5,61.0,Between 18 and 25,F,High School,University Student,12.0
5.0,55.0,-25.0,-20.0,8.5,Between 56 and 65,M,High School,Permanent Employee,13.0
3.0,57.5,-17.5,-27.5,51.5,Between 18 and 25,M,Middle School,Student,13.0
4.0,52.5,-25.0,22.5,87.0,Between 46 and 55,M,Middle School,I'd rather not answer,12.0
6.0,62.5,-17.5,-22.5,69.0,Between 18 and 25,M,Middle School,Student,12.0
6.0,20.0,15.0,-2.5,41.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,28.0
4.0,50.0,17.5,22.5,76.0,Between 26 and 35,M,PhD,Public Employee,12.0
6.0,67.5,-5.0,2.5,57.0,Between 46 and 55,F,High School,Fixed Term Employee,12.0
2.0,67.5,17.5,32.5,99.0,Between 36 and 45,F,Master's Degree,Freelance,12.0
4.0,55.0,17.5,25.0,79.0,Between 36 and 45,F,Master's Degree,Freelance,12.0
6.0,62.5,-25.0,-10.0,53.5,Between 26 and 35,M,High School,Fixed Term Employee,13.0
5.0,37.5,-10.0,-57.5,5.5,Between 56 and 65,M,High School,Retired,16.0
2.0,55.0,45.0,72.5,87.0,Between 36 and 45,M,Master's Degree,Freelance,14.0
5.0,30.0,-5.0,-52.5,-9.5,Between 46 and 55,M,Vocational qualification,Permanent Employee,16.0
4.0,27.5,-5.0,30.0,57.0,Between 26 and 35,M,Master's Degree,Freelance,19.0
5.0,32.5,-15.0,-40.0,26.5,Between 26 and 35,F,First Level Master Degree,Permanent Employee,16.0
5.0,12.5,-22.5,-27.5,28.0,Between 46 and 55,M,Middle School,Freelance,27.0
5.0,40.0,0.0,-35.0,17.0,Between 56 and 65,M,Middle School,Entrepreneur,16.0
2.0,47.5,12.5,70.0,99.5,Between 26 and 35,M,Master's Degree,Permanent Employee,21.0
5.0,35.0,-27.5,-30.0,-4.0,More than 65,M,Middle School,Retired,16.0
5.0,20.0,-12.5,-45.0,0.0,More than 65,M,Middle School,Retired,16.0
2.0,77.5,17.5,47.5,89.5,Between 36 and 45,M,High School,Permanent Employee,12.0
3.0,42.5,5.0,-30.0,28.0,Between 46 and 55,M,High School,I'd rather not answer,13.0
5.0,25.0,-35.0,-35.0,4.0,Between 46 and 55,M,Middle School,Fixed Term Employee,16.0
2.0,37.5,30.0,65.0,102.0,Between 36 and 45,M,Master's Degree,Entrepreneur,21.0
3.0,47.5,-25.0,-10.0,35.5,Between 56 and 65,F,Middle School,I'd rather not answer,13.0
6.0,50.0,2.5,10.0,48.5,Between 26 and 35,F,High School,Looking for employment,12.0
2.0,75.0,25.0,47.5,114.5,Between 26 and 35,M,High School,Permanent Employee,2.0
6.0,52.5,-2.5,-12.5,54.0,Between 46 and 55,F,Master's Degree,I'd rather not answer,12.0
2.0,37.5,20.0,52.5,92.0,Between 26 and 35,M,High School,Permanent Employee,19.0
4.0,50.0,-5.0,25.0,62.0,Between 26 and 35,M,High School,University Student,12.0
5.0,30.0,-5.0,-25.0,11.0,Between 18 and 25,F,Master's Degree,Student,16.0
3.0,15.0,-15.0,-10.0,25.0,Between 18 and 25,F,Bachelor's Degree,Student,27.0
4.0,50.0,-2.5,12.5,74.5,Between 26 and 35,M,High School,Student,12.0
6.0,37.5,-40.0,-5.0,63.5,Between 26 and 35,M,Master's Degree,Freelance,13.0
6.0,52.5,-10.0,-15.0,76.0,Between 26 and 35,M,Master's Degree,I'd rather not answer,12.0
2.0,67.5,65.0,87.5,106.0,Between 26 and 35,F,Bachelor's Degree,Permanent Employee,14.0
3.0,20.0,20.0,-20.0,28.0,Between 46 and 55,F,Middle School,Looking for employment,27.0
4.0,62.5,20.0,22.5,88.5,Between 46 and 55,M,First Level Master Degree,I'd rather not answer,12.0
5.0,30.0,-2.5,-25.0,9.0,Between 46 and 55,F,Middle School,Looking for employment,16.0
5.0,32.5,-40.0,-62.5,18.5,Between 46 and 55,M,Middle School,Permanent Employee,16.0
6.0,47.5,12.5,-2.5,39.0,Between 18 and 25,F,Bachelor's Degree,Looking for employment,12.0
4.0,45.0,35.0,12.5,41.5,Between 36 and 45,F,Master's Degree,Public Employee,12.0
5.0,50.0,-2.5,-65.0,-7.0,Between 26 and 35,F,Middle School,Looking for employment,9.0
5.0,47.5,-2.5,-22.5,16.5,Between 56 and 65,F,Master's Degree,Permanent Employee,13.0
4.0,42.5,20.0,7.5,47.5,Between 46 and 55,M,Master's Degree,Permanent Employee,12.0
5.0,52.5,5.0,-22.5,15.0,Between 46 and 55,M,High School,I'd rather not answer,13.0
2.0,52.5,40.0,67.5,98.5,Between 18 and 25,F,High School,University Student,14.0
5.0,32.5,-12.5,-20.0,11.5,Between 18 and 25,M,High School,University Student,16.0
6.0,40.0,25.0,15.0,30.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,19.0
5.0,57.5,-10.0,-100.0,-24.5,Between 46 and 55,F,High School,Public Employee,8.0
5.0,65.0,-10.0,-92.5,-4.5,Between 46 and 55,F,High School,I'd rather not answer,8.0
6.0,50.0,20.0,-17.5,32.5,Between 18 and 25,F,High School,Student,12.0
5.0,22.5,-2.5,-15.0,11.5,Between 46 and 55,F,High School,I'd rather not answer,27.0
2.0,50.0,35.0,45.0,108.5,Between 18 and 25,M,Master's Degree,University Student,21.0
4.0,45.0,37.5,40.0,66.5,Between 36 and 45,F,Master's Degree,Permanent Employee,21.0
5.0,17.5,15.0,-50.0,-7.0,More than 65,M,Middle School,Retired,27.0
2.0,0.0,50.0,112.5,137.0,Between 36 and 45,N,First Level Master Degree,I'd rather not answer,33.0
4.0,65.0,-2.5,42.5,76.0,Between 56 and 65,F,High School,Permanent Employee,12.0
5.0,7.5,5.0,-22.5,13.0,Less than 18,F,I'd rather not answer,Student,27.0
5.0,27.5,-15.0,-37.5,12.0,Between 46 and 55,F,Master's Degree,Permanent Employee,16.0
2.0,65.0,17.5,55.0,84.5,Between 18 and 25,M,High School,University Student,12.0
2.0,65.0,55.0,45.0,77.5,Between 46 and 55,M,High School,Permanent Employee,14.0
4.0,37.5,20.0,7.5,60.0,Between 56 and 65,F,High School,Permanent Employee,12.0
2.0,75.0,27.5,72.5,117.0,Between 18 and 25,M,High School,University Student,2.0
3.0,40.0,2.5,0.0,16.5,Between 46 and 55,F,High School,I'd rather not answer,13.0
4.0,40.0,20.0,35.0,56.0,Between 46 and 55,M,Master's Degree,Permanent Employee,19.0
4.0,60.0,35.0,5.0,46.5,Between 46 and 55,F,High School,Permanent Employee,12.0
6.0,45.0,5.0,-10.0,46.5,Between 56 and 65,F,High School,Looking for employment,12.0
6.0,55.0,-30.0,-27.5,79.5,Between 26 and 35,F,High School,Looking for employment,13.0
5.0,22.5,10.0,-10.0,13.0,Between 36 and 45,F,Middle School,Looking for employment,27.0
5.0,47.5,-10.0,-45.0,26.5,Between 56 and 65,F,Middle School,I'd rather not answer,9.0
5.0,-5.0,-17.5,-40.0,-1.0,Between 56 and 65,M,High School,Retired,27.0
6.0,45.0,30.0,-5.0,24.0,More than 65,F,High School,Retired,12.0
5.0,-2.5,-35.0,-32.5,-12.5,Between 56 and 65,F,Master's Degree,Permanent Employee,27.0
4.0,67.5,15.0,0.0,59.0,Between 36 and 45,F,First Level Master Degree,Public Employee,12.0
5.0,52.5,-25.0,-57.5,18.5,Between 56 and 65,F,Middle School,Looking for employment,9.0
3.0,32.5,0.0,-5.0,28.5,Between 46 and 55,M,High School,Permanent Employee,13.0
3.0,62.5,27.5,-12.5,4.0,Between 46 and 55,F,Master's Degree,Permanent Employee,12.0
2.0,57.5,67.5,50.0,72.5,Between 46 and 55,F,High School,Public Employee,14.0
3.0,35.0,5.0,-10.0,30.0,More than 65,F,High School,Public Employee,13.0
5.0,32.5,-30.0,-40.0,8.5,Between 26 and 35,F,Middle School,Looking for employment,16.0
3.0,47.5,-15.0,-20.0,38.0,Between 18 and 25,F,High School,University Student,13.0
5.0,37.5,10.0,-22.5,16.5,Between 46 and 55,F,Middle School,Looking for employment,13.0
6.0,45.0,10.0,-5.0,53.5,Between 46 and 55,M,Middle School,Permanent Employee,12.0
4.0,52.5,32.5,15.0,68.5,Between 18 and 25,M,High School,Freelance,12.0
6.0,35.0,-12.5,-12.5,59.5,Between 46 and 55,M,Middle School,Permanent Employee,13.0
4.0,37.5,15.0,25.0,77.0,Between 36 and 45,F,I'd rather not answer,I'd rather not answer,19.0
6.0,60.0,10.0,-22.5,38.5,Between 36 and 45,M,High School,Permanent Employee,12.0
4.0,50.0,15.0,27.5,56.0,Between 56 and 65,F,Vocational qualification,Freelance,12.0
4.0,57.5,37.5,12.5,50.5,Between 46 and 55,M,High School,I'd rather not answer,12.0
6.0,52.5,-7.5,-7.5,34.0,Between 18 and 25,F,High School,University Student,13.0
4.0,60.0,-5.0,12.5,93.5,Between 46 and 55,M,High School,Permanent Employee,12.0
6.0,50.0,-25.0,5.0,56.0,Between 46 and 55,F,High School,Public Employee,13.0
2.0,37.5,30.0,65.0,78.5,Between 18 and 25,M,High School,Freelance,21.0
5.0,35.0,-10.0,-57.5,22.0,Between 46 and 55,M,Middle School,Entrepreneur,16.0
3.0,50.0,-12.5,-22.5,46.0,Between 46 and 55,F,Master's Degree,Permanent Employee,13.0
2.0,-20.0,70.0,160.0,122.0,Between 36 and 45,M,Master's Degree,Permanent Employee,23.0
2.0,60.0,10.0,37.5,91.0,Between 26 and 35,F,First Level Master Degree,Looking for employment,12.0
5.0,65.0,25.0,-27.5,3.0,Between 46 and 55,M,High School,Permanent Employee,12.0
2.0,47.5,12.5,52.5,113.5,Between 18 and 25,F,High School,University Student,21.0
6.0,47.5,-40.0,-10.0,72.0,Between 46 and 55,M,Middle School,Public Employee,13.0
3.0,35.0,-5.0,-32.5,44.0,Between 46 and 55,F,Middle School,Looking for employment,16.0
4.0,45.0,10.0,10.0,71.0,Between 26 and 35,F,First Level Master Degree,Freelance,12.0
2.0,67.5,22.5,55.0,96.0,Between 26 and 35,M,Master's Degree,Freelance,12.0
4.0,30.0,10.0,17.5,92.0,Less than 18,M,Middle School,Student,19.0
5.0,2.5,-20.0,-75.0,-9.5,Between 36 and 45,F,High School,Looking for employment,37.0
3.0,52.5,-20.0,-5.0,22.0,Between 46 and 55,M,Vocational qualification,Public Employee,13.0
6.0,37.5,-20.0,-2.5,46.0,Between 26 and 35,M,High School,Public Employee,13.0
2.0,40.0,0.0,30.0,99.5,Between 18 and 25,F,High School,Permanent Employee,12.0
2.0,52.5,27.5,80.0,112.0,Between 18 and 25,F,Bachelor's Degree,University Student,14.0
5.0,30.0,-32.5,-25.0,31.0,Between 26 and 35,F,High School,Fixed Term Employee,16.0
2.0,52.5,55.0,105.0,94.5,Between 18 and 25,F,High School,University Student,14.0
4.0,77.5,10.0,2.5,60.5,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,12.0
4.0,62.5,47.5,32.5,61.5,Between 46 and 55,F,Master's Degree,Permanent Employee,12.0
6.0,35.0,-5.0,-15.0,46.5,Between 46 and 55,F,High School,I'd rather not answer,13.0
4.0,57.5,27.5,50.0,61.0,Between 46 and 55,M,Middle School,I'd rather not answer,12.0
5.0,7.5,20.0,-15.0,-30.5,Between 46 and 55,M,High School,Freelance,27.0
4.0,22.5,12.5,45.0,66.0,Between 18 and 25,M,High School,Student,19.0
4.0,10.0,-15.0,22.5,71.0,Between 18 and 25,M,High School,I'd rather not answer,28.0
6.0,47.5,7.5,0.0,31.0,More than 65,M,Master's Degree,Retired,12.0
4.0,25.0,7.5,22.5,66.0,Between 56 and 65,F,High School,I'd rather not answer,19.0
4.0,60.0,27.5,25.0,70.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,12.0
6.0,47.5,-7.5,-15.0,41.0,Less than 18,M,Middle School,Student,13.0
5.0,37.5,-7.5,-20.0,10.0,Less than 18,M,Middle School,Student,16.0
5.0,35.0,-20.0,-52.5,-1.0,Less than 18,M,Middle School,Student,16.0
5.0,32.5,-17.5,-32.5,26.0,Between 18 and 25,M,PhD,Public Employee,16.0
5.0,35.0,0.0,-30.0,12.0,Between 18 and 25,M,High School,University Student,16.0
5.0,42.5,-10.0,-15.0,13.5,Between 18 and 25,M,First Level Master Degree,Entrepreneur,13.0
5.0,32.5,-30.0,-20.0,13.5,Between 18 and 25,M,First Level Master Degree,Entrepreneur,16.0
5.0,22.5,-22.5,-67.5,-29.5,More than 65,F,PhD,Freelance,10.0
5.0,30.0,-5.0,-37.5,12.0,Less than 18,M,Vocational qualification,Student,16.0
5.0,20.0,0.0,-20.0,6.0,Less than 18,M,Vocational qualification,Retired,27.0
5.0,27.5,-35.0,-52.5,25.0,Less than 18,M,I'd rather not answer,Entrepreneur,16.0
3.0,50.0,-37.5,-15.0,36.5,Less than 18,M,High School,University Student,13.0
3.0,37.5,0.0,-17.5,20.5,Between 18 and 25,M,High School,University Student,13.0
4.0,40.0,-15.0,42.5,49.5,Less than 18,M,Middle School,Student,19.0
3.0,42.5,-17.5,0.0,21.0,Between 18 and 25,M,High School,Student,13.0
5.0,32.5,-17.5,-52.5,-25.5,Between 18 and 25,M,I'd rather not answer,Student,10.0
5.0,10.0,7.5,-35.0,9.5,Less than 18,M,High School,Freelance,27.0
6.0,7.5,25.0,-5.0,28.5,Between 26 and 35,M,I'd rather not answer,I'd rather not answer,28.0
6.0,17.5,-40.0,-17.5,77.0,Less than 18,M,Middle School,Student,16.0
5.0,20.0,0.0,-22.5,6.0,Less than 18,M,I'd rather not answer,I'd rather not answer,27.0
3.0,40.0,-35.0,-30.0,49.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,13.0
2.0,60.0,25.0,25.0,93.5,Between 36 and 45,M,Master's Degree,I'd rather not answer,12.0
6.0,-15.0,10.0,12.5,31.0,Between 26 and 35,F,High School,Fixed Term Employee,27.0
2.0,42.5,0.0,42.5,93.5,Between 26 and 35,M,High School,Freelance,19.0
4.0,65.0,25.0,5.0,52.5,Between 36 and 45,F,Master's Degree,Permanent Employee,12.0
4.0,50.0,5.0,45.0,62.0,Between 18 and 25,M,High School,University Student,12.0
2.0,60.0,22.5,85.0,114.5,Between 18 and 25,F,High School,University Student,14.0
2.0,80.0,50.0,87.5,107.0,Between 18 and 25,M,High School,University Student,2.0
2.0,60.0,35.0,62.5,99.5,Between 36 and 45,M,Master's Degree,Permanent Employee,14.0
4.0,50.0,-2.5,10.0,66.0,Between 36 and 45,F,First Level Master Degree,Entrepreneur,12.0
4.0,42.5,30.0,7.5,80.0,Between 26 and 35,M,High School,Permanent Employee,12.0
6.0,62.5,-25.0,-22.5,82.5,Between 36 and 45,F,Bachelor's Degree,University Student,12.0
5.0,37.5,-10.0,-25.0,28.0,Between 26 and 35,M,Master's Degree,Entrepreneur,13.0
2.0,62.5,27.5,30.0,88.5,Between 56 and 65,F,High School,Looking for employment,12.0
6.0,55.0,5.0,7.5,50.0,Between 26 and 35,M,Bachelor's Degree,Permanent Employee,12.0
4.0,50.0,17.5,15.0,61.0,Between 36 and 45,M,First Level Master Degree,Permanent Employee,12.0
6.0,40.0,-7.5,22.5,31.0,Between 36 and 45,M,High School,Permanent Employee,13.0
2.0,42.5,42.5,47.5,99.5,Between 36 and 45,M,Master's Degree,Permanent Employee,21.0
4.0,70.0,10.0,2.5,59.0,Between 26 and 35,M,Bachelor's Degree,Permanent Employee,12.0
5.0,0.0,0.0,5.0,5.0,Between 36 and 45,M,High School,Looking for employment,27.0
5.0,-30.0,-25.0,-82.5,-69.5,Less than 18,M,Middle School,Student,30.0
6.0,17.5,10.0,-10.0,72.5,Between 36 and 45,M,Master's Degree,Freelance,28.0
4.0,22.5,22.5,12.5,55.5,Between 18 and 25,M,High School,Permanent Employee,19.0
2.0,45.0,57.5,130.0,127.0,Between 18 and 25,M,High School,University Student,14.0
4.0,32.5,12.5,27.5,56.0,Between 18 and 25,M,High School,University Student,19.0
5.0,-2.5,-75.0,-180.0,-92.0,Between 18 and 25,M,High School,University Student,38.0
4.0,0.0,-5.0,40.0,69.5,Between 18 and 25,M,High School,University Student,28.0
4.0,57.5,-7.5,35.0,50.0,Between 18 and 25,M,High School,University Student,12.0
2.0,-30.0,20.0,72.5,74.5,Between 18 and 25,M,High School,Student,42.0
5.0,35.0,-2.5,-57.5,8.5,Between 18 and 25,M,High School,University Student,16.0
5.0,55.0,-7.5,-27.5,10.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,13.0
2.0,52.5,82.5,77.5,78.5,Between 18 and 25,M,Bachelor's Degree,University Student,14.0
5.0,30.0,-25.0,-85.0,-11.5,Between 18 and 25,M,High School,University Student,10.0
2.0,70.0,82.5,80.0,98.5,Between 18 and 25,N,High School,University Student,14.0
5.0,12.5,-55.0,-45.0,-15.5,Between 18 and 25,M,High School,University Student,37.0
5.0,20.0,-22.5,-62.5,-18.5,Between 18 and 25,M,High School,University Student,16.0
4.0,30.0,40.0,15.0,44.0,Between 18 and 25,M,High School,University Student,19.0
5.0,25.0,-27.5,-65.0,-26.0,Between 18 and 25,M,High School,University Student,10.0
5.0,7.5,-27.5,-72.5,-28.5,Between 18 and 25,M,High School,University Student,17.0
5.0,-17.5,-47.5,-85.0,-67.0,Less than 18,M,Vocational qualification,Student,30.0
5.0,-10.0,-47.5,-80.0,-72.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,30.0
6.0,65.0,10.0,-12.5,48.5,Between 56 and 65,F,Middle School,Freelance,12.0
5.0,37.5,10.0,-30.0,25.0,Less than 18,M,High School,Student,16.0
5.0,25.0,-40.0,7.5,6.0,Less than 18,M,High School,Student,27.0
3.0,-5.0,-45.0,-7.5,37.0,Less than 18,M,High School,Student,27.0
5.0,42.5,-35.0,-32.5,16.5,Less than 18,M,High School,Student,16.0
6.0,12.5,-12.5,12.5,56.0,Less than 18,M,Middle School,Student,28.0
4.0,32.5,15.0,5.0,73.5,Less than 18,M,I'd rather not answer,Student,19.0
4.0,55.0,-55.0,15.0,87.0,Less than 18,M,I'd rather not answer,Student,13.0
5.0,42.5,-25.0,-32.5,31.0,Less than 18,M,High School,Student,13.0
5.0,30.0,-47.5,-67.5,-11.0,Less than 18,M,High School,Student,10.0
